model,origin,segment,n_series,wql,mase
seasonal_naive,1773,overall,30463,0.6770482285818632,1.1231396388871486
seasonal_naive,1773,high_volume,6096,0.5444697310776834,1.016249131533092
seasonal_naive,1773,long_tail,24367,0.9165125205969039,1.1498809091637656
seasonal_naive,1801,overall,30474,0.621284867683643,1.0465145299016685
seasonal_naive,1801,high_volume,6096,0.5102799672098699,1.045505774170679
seasonal_naive,1801,long_tail,24378,0.8301607254385757,1.0467668223007867
seasonal_naive,1829,overall,30479,0.5722682274607888,1.1033768315736356
seasonal_naive,1829,high_volume,6097,0.44860059789440226,1.0074316685573346
seasonal_naive,1829,long_tail,24382,0.8014234178695009,1.127369024950323
seasonal_naive,1857,overall,30490,0.577129874403414,1.1434264160703087
seasonal_naive,1857,high_volume,6099,0.4469927843608265,1.0050963521969967
seasonal_naive,1857,long_tail,24391,0.8171990576123923,1.178016021234645
seasonal_naive,1885,overall,30490,0.5820909645445436,1.1890124801062263
seasonal_naive,1885,high_volume,6099,0.4584597036930713,1.010939693939057
seasonal_naive,1885,long_tail,24391,0.7978160578344248,1.2335398025954056
ets,1773,overall,100,0.5705944427317543,0.9565693397071375
ets,1773,high_volume,22,0.4938939069319191,0.7916603286005454
ets,1773,long_tail,78,0.7189545286620724,1.0030821377115609
ets,1801,overall,100,0.47890536796521377,0.9825163270167332
ets,1801,high_volume,22,0.4019717252446238,0.9227127397953414
ets,1801,long_tail,78,0.6852784606646063,0.999384005463792
ets,1829,overall,100,0.5237058031289804,1.0157567882261758
ets,1829,high_volume,22,0.45768156825039935,0.9522585899440934
ets,1829,long_tail,78,0.6786992719751367,1.0336665364595836
ets,1857,overall,100,0.483515079639929,0.9293494694266545
ets,1857,high_volume,22,0.4061475000163404,0.7872908961857772
ets,1857,long_tail,78,0.6735565961050717,0.9694172721356205
ets,1885,overall,100,0.471771361323787,0.9762622245164596
ets,1885,high_volume,22,0.3860078464459613,0.7195251778099497
ets,1885,long_tail,78,0.6568630286366454,1.04867523769009
prophet,1773,overall,100,1.1797491455134417,1.2457666997752233
prophet,1773,high_volume,22,1.3334354793439338,1.4389625908641024
prophet,1773,long_tail,78,0.8824771974672018,1.1912755510065647
prophet,1801,overall,100,0.932234332898071,1.3276595591836782
prophet,1801,high_volume,22,0.9522378125755474,1.6643088120760468
prophet,1801,long_tail,78,0.8785753636902426,1.2327072058037791
prophet,1829,overall,100,1.0314918904724049,1.38250502249901
prophet,1829,high_volume,22,1.094872115696999,1.8580329421900812
prophet,1829,long_tail,78,0.882705297460369,1.2483817630989638
prophet,1857,overall,100,0.9945835741714951,1.3671174493673277
prophet,1857,high_volume,22,1.023827316822159,1.7901439307920926
prophet,1857,long_tail,78,0.9227508345732391,1.24780228793983
prophet,1885,overall,100,1.034701031256782,1.3866444809715148
prophet,1885,high_volume,22,1.1190392889124112,1.816893602886501
prophet,1885,long_tail,78,0.8526853017244803,1.2652921645339545
